id,group
CHABLIS,1
Cote de Nuits,1
Cote de Beaune,1
Cote Chalonnaise,1
Fye,2
Fontenay,2
Fleys,2
La Chapelle Vaupelteigne,2
Maligny,2
Chichee,2
Poinchy,2
Chablis,2
Courgis,2
Beines,2
Bougros,3
Preuses,3
Vaudesir,3
Grenouilles,3
Valmur,3
Les Clos,3
Blanchots,3
Butteaux,3
Forets,3
Chapelot,3
Montmains,3
Vaillons,3
Berdiot,3
Montee de Tonnerre,3
Cote de Vaubarousse,3
Fourchaume,3
Fixin,2
Marsannay,2
Gevrey-Chambertin,2
Morey-Saint-Denis,2
Chambolle-Musigny,2
Vougeot,2
Vosne-Romanee,2
Flagey-Echezeaux,2
Nuits-Saint-Georges,2
Cote de Nuits Villages,2
Comblanchien,3
Corgoloin,3
Corton,2
Aloxe-Corton,2
Ladoix,2
Pernand-Vergelesses,2
Savigny-les-Beaune,2
Beaune,2
Pommard,2
Volnay,2
Monthelie,2
Auxey-Duresses,2
Saint-Romain,2
Meursault,2
Blagny,2
Puligny-Montrachet,2
Saint-Aubin,2
Chassagne-Montrachet,2
Santenay,2
Maranges,2
Bouzeron,2
Rully,2
Mercurey,2
Givry,2
Montagny,2
Corton-Charlemagne,3
Latricieres-Chambertin,3
Les Vergelesses,3
Les Marconnets,3
Aux Fourneaux,3
Les Guettes,3
Domaine Simon Bize,4
Patrick Bize,5
Chisa Bize,5
Chandon de Briaille,4
Les Bressandes,3
Clos du Roi,3
Les Marechaudes,3
Les Caillerets,3
Les Valozieres,3
Ile de Vergelesses,3
Les Basses-Vergelesses,3
Les Lavieres,3
Anne-Claude de Nicolay,5
Francois de Nicolay,5
Les Angles,3
Les Aussy,3
La Barre,3
Les Brouillards,3
Cailleret-Dessus,3
Carelle sous la Chapelle,3
En Champans,3
Les Chanlins,3
En Chevret,3
Clos de l`Audignac,3
Clos de la Bousse d`Or,3
Clos de la Cave des Ducs,3
Clos de la Chapelle,3
Clos des Chenes,3
Clos des Ducs,3
Clos des Mouches,3
Clos du Chateau des Ducs,3
Les Fremiets,3
La Gigotte,3
Les Grands Champs,3
Lassolle,3
Les Lurets,3
Les Mitans,3
En l`Ormeau,3
Pitures Dessus,3
Pointes d`Angles,3
Robardelle,3
Le Ronceret,3
Taille Pieds,3
En Verseuil,3
Le Village,3
Marquis d`Angerville,4
Pousse d`Or,4
Yvon Clerget,4
Michel Lafarge,4
Louis Jadot,4
Guillaume d`Angerville,5
Renaud de Villette,5
Les Santenots,3
Jean-Marie Raveneau,5
Frederic Drouhin,5
Domaine Raveneau,4
Joseph Drouhin,4
